"id","value","label"
"1",,"满足"
"2",,"崇拜"
"3",,"爱情"
"4",,"感激"
"5",,"幸福"
"6",,"自豪"
"7",,"自命不凡"
"8",,"决心"
"9",,"安心"
"10",,"感谢"
"11",,"兴高采烈"
"12",,"愉快"
"13",,"自信"
"14",,"不感兴趣"
"15",,"胆怯"
"16",,"失望"
"17",,"嫉妒"
"18",,"勉强"
"19",,"不满"
"20",,"轻蔑"
"21",,"鄙夷"
"22",,"恼怒"
"23",,"愤怒"
"24",,"生气"
"25",,"激动"
"26",,"盛怒"
"27",,"紧张"
"28",,"厌恶"
"29",,"怨恨"
"30",,"憎恨"
"31",,"拒绝"
"32",,"害怕"
"33",,"恐惧"
"34",,"屈服"
"35",,"慌张"
"36",,"惊讶/震惊"
"37",,"惊叹"
"38",,"焦虑"
"39",,"猜疑"
"40",,"怀疑"
"41",,"疑神疑鬼"
"42",,"不安全感"
"43",,"不确定"
"44",,"不相信"
"45",,"不知所措"
"46",,"担心"
"47",,"提防"
"48",,"防御"
"49",,"忧郁"
"50",,"愧疚"
"51",,"自责"
"52",,"急躁"
"53",,"后悔"
"54",,"孤独"
"55",,"沮丧"
"56",,"悲伤"
"57",,"痛苦"
"58",,"绝望"
"59",,"挫败"
"60",,"苦恼"
"61",,"同情"
"62",,"矛盾"
"63",,"欲望"
"64",,"好奇"
"65",,"怀念"
"66",,"渴望"
"67",,"期待"
"68",,"希望"
"69",,"羡慕"
"70",,"难堪"
"71",,"烦恼"
"72",,"羞耻"
"73",,"混乱"
"74",,"男外貌"
"75",,"风灯"
"76",,"双手交叠"
"77",,"梗"
"78",,"眼睛"
"79",,"讽刺"
"80",,"声音"
"81",,"拂袖"
"82",,"打趣"
"83",,"女外貌"
"84",,"平静"
"85",,"脸色"
"86",,"晚秋风"
"87",,"笑"
"88",,"欣慰"
"89",,"手"
